Player,Team,Age,Height (cm),Weight (kg),Stick
Cody Eakin,Buffalo,30,183,89,left
Jordan Eberle,Seattle,31,180,85,right
Alexander Edler,Los Angeles,36,191,95,left
Joel Edmundson,Montreal,28,193,99,left
Nikolaj Ehlers,Winnipeg,26,181,78,left
Jack Eichel,Vegas,25,188,97,right
Aaron Ekblad,Florida,26,193,98,right
Mattias Ekholm,Nashville,31,191,98,left
Oliver Ekman-Larsson,Vancouver,30,188,91,left
Lars Eller,Washington,32,185,94,left
Brian Elliott,Tampa Bay,37,188,95,left
Ryan Ellis,Philadelphia,31,178,83,right
Pierre Engvall,Toronto,25,196,98,left
Tyler Ennis,Ottawa,32,175,73,left
MacKenzie Entwistle,Chicago,22,192,83,right
Loui Eriksson,Arizona,36,187,78,left
Joel Eriksson Ek,Minnesota,25,188,95,left
Adam Erne,Detroit,27,185,96,left
Jake Evans,Montreal,25,183,82,right
Robby Fabbri,Detroit,26,179,83,left
Dante Fabbro,Nashville,23,184,87,right
Radek Faksa,Dallas,28,191,97,left
Joel Farabee,Philadelphia,22,183,77,left
Jesper Fast,Carolina,30,184,87,right
Justin Faulk,St. Louis,30,183,97,right
Martin Fehérváry,Washington,22,188,92,left
Mario Ferraro,San Jose,23,180,84,left
Kevin Fiala,Minnesota,25,178,90,left
Christian Fischer,Arizona,25,188,96,right
Casey Fitzgerald,Buffalo,25,180,84,right
Haydn Fleury,Seattle,25,190,94,left
Marc-André Fleury,Minnesota,37,188,82,left
Warren Foegele,Edmonton,26,188,90,left
Nick Foligno,Boston,34,183,96,left
Marcus Foligno,Minnesota,30,191,105,left
Cal Foote,Tampa Bay,23,192,103,right
Derek Forbort,Boston,30,193,99,left
Alex Formenton,Ottawa,22,188,88,left
Filip Forsberg,Nashville,27,187,93,right
Anton Forsberg,Ottawa,29,188,87,left
Gustav Forsling,Florida,25,182,84,left
Cam Fowler,Anaheim,30,186,95,left
Adam Fox,NY Rangers,24,179,82,right
Pavel Francouz,Colorado,32,182,81,right
Trent Frederic,Boston,24,190,95,left
Mark Friedman,Pittsburgh,26,180,84,right
Morgan Frost,Philadelphia,22,180,77,left
Jonah Gadjovich,San Jose,23,188,91,left
Sam Gagner,Detroit,32,180,89,right
Alex Galchenyuk,Arizona,28,185,88,left
Brendan Gallagher,Montreal,29,174,83,right
Dylan Gambrell,Ottawa,25,183,85,right
Jake Gardiner,Carolina,31,188,92,left
Conor Garland,Vancouver,26,177,75,right
Adam Gaudette,Ottawa,25,185,77,right
Frédérick Gaudreau,Minnesota,29,183,81,right
Johnny Gaudreau,Calgary,28,175,74,left
Julien Gauthier,NY Rangers,24,193,103,right
Vladislav Gavrikov,Columbus,26,190,97,left
Morgan Geekie,Seattle,23,188,87,right
Mason Geertsen,New Jersey,27,193,93,left
Aleksandr Georgijev,NY Rangers,26,185,82,left
John Gibson,Anaheim,28,188,93,left
Jon Gillies,New Jersey,28,197,98,left
Mark Giordano,Toronto,38,183,90,left
Samuel Girard,Colorado,23,178,77,left
Zemgus Girgensons,Buffalo,28,188,96,left
Claude Giroux,Florida,34,180,84,right
Luke Glendening,Dallas,33,180,88,right
Alex Goligoski,Minnesota,36,180,78,left
Barclay Goodrow,NY Rangers,29,188,95,left
Shayne Gostisbehere,Arizona,29,180,81,left
Yanni Gourde,Seattle,30,175,77,left
Mikael Granlund,Nashville,30,178,83,left
Derek Grant,Anaheim,32,191,95,left
Ryan Graves,New Jersey,26,194,100,left
Andy Greene,NY Islanders,39,180,86,left
Jordan Greenway,Minnesota,25,197,109,left
Noah Gregor,San Jose,23,183,84,left
Thomas Greiss,Detroit,36,187,100,left
Philipp Grubauer,Seattle,30,185,85,left
Carl Grundström,Los Angeles,24,184,88,left
Matt Grzelcyk,Boston,28,175,79,left
Radko Gudas,Florida,31,183,93,right
Erik Gudbranson,Calgary,30,195,101,right
Jake Guentzel,Pittsburgh,27,179,82,left
Denis Gurjanov,Dallas,24,190,88,left
Erik Gustafsson,Chicago,30,184,90,left
Brandon Hagel,Tampa Bay,23,180,79,left
Carl Hagelin,Washington,33,182,83,left
Nicolas Hague,Vegas,23,197,104,left
Libor Hájek,NY Rangers,24,188,92,left
Jani Hakanpää,Dallas,30,197,98,right
Jaroslav Halák,Vancouver,36,180,82,left
Taylor Hall,Boston,30,185,93,left
Dougie Hamilton,New Jersey,28,197,104,right
Travis Hamonic,Ottawa,31,188,94,right
Noah Hanifin,Calgary,25,191,98,left
Joel Hanley,Dallas,30,180,86,left
Jansen Harkins,Winnipeg,24,188,84,left
Thomas Harley,Dallas,20,191,93,left
Ben Harpur,Nashville,27,198,104,left
Jordan Harris,Montreal,21,180,81,left
Carter Hart,Philadelphia,23,187,85,left
Ryan Hartman,Minnesota,27,183,87,right
Garnet Hathaway,Washington,30,188,94,right
Erik Haula,Boston,31,183,88,left
John Hayden,Buffalo,27,191,101,right
Kevin Hayes,Philadelphia,29,196,98,left
Barrett Hayton,Arizona,21,185,86,left
Victor Hedman,Tampa Bay,31,198,109,left
Danton Heinen,Pittsburgh,26,185,84,left
Miro Heiskanen,Dallas,22,185,86,left
Magnus Hellberg,Detroit,31,196,86,left
Connor Hellebuyck,Winnipeg,28,193,94,left
Darren Helm,Colorado,35,181,87,left
Adam Henrique,Anaheim,32,183,88,left
Tomáš Hertl,San Jose,28,188,97,left
Matthew Highmore,Vancouver,26,180,85,left
Adin Hill,San Jose,25,197,92,left
Vinnie Hinostroza,Buffalo,28,177,80,right
Roope Hintz,Dallas,25,191,95,left
Nico Hischier,New Jersey,23,185,81,left
Mike Hoffman,Montreal,32,183,82,left
Nick Holden,Ottawa,34,192,97,left
Justin Holl,Toronto,30,193,89,right
Braden Holtby,Dallas,32,188,96,left
Bo Horvat,Vancouver,27,183,98,left
Brett Howden,Vegas,24,190,89,left
Filip Hronek,Detroit,24,183,84,right
Jonathan Huberdeau,Florida,28,185,91,left
Jack Hughes,New Jersey,20,179,82,left
Quinn Hughes,Vancouver,22,178,79,left
Dryden Hunt,NY Rangers,26,182,87,left
Brad Hunt,Vancouver,33,175,80,left
Ville Husso,St. Louis,27,191,93,left
Ben Hutton,Vegas,29,188,94,left
Zach Hyman,Edmonton,29,185,97,right
Robert Hägg,Florida,27,188,94,left
Nils Höglander,Vancouver,21,176,84,left
Patric Hörnqvist,Florida,35,182,86,right
Alex Iafallo,Los Angeles,28,183,84,left
Matt Irwin,Washington,34,185,94,left
Mattias Janmark,Vegas,29,185,89,left
Tristan Jarry,Pittsburgh,27,188,88,left
Seth Jarvis,Carolina,20,178,79,right
Dmitrij Jaškin,Arizona,29,186,98,left
Tanner Jeannot,Nashville,24,188,97,left
Boone Jenner,Columbus,28,187,93,left
Nick Jensen,Washington,31,185,93,right
Ryan Johansen,Nashville,29,191,99,right
Marcus Johansson,Washington,31,180,92,left
Reese Johnson,Chicago,23,185,87,right
Kent Johnson,Columbus,19,185,76,left
Erik Johnson,Colorado,34,193,102,right
Jack Johnson,Colorado,35,185,103,left
Tyler Johnson,Chicago,31,173,82,right
